2,Era,#:,Song Title,Credited Artist(s):,Producer(s):,Engineer(s):,Additional Information:,File Name(s) | Metadata:,Instrumental Name(s):,Recording Location(s):,Record Date(s):,Preview Date:,Date(s):,Duration,Category:,Available Files:
957,DRFL,126,Must Be Nice (v1.2) Fireflies,Juice WRLD,Don Kevo & RicandThadeus,Max Lord,-,juice wrld - must be nice v1.2 (Pineapple),Pineapple,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 12, 2019.","First Previewed January 12, 2019.","Surfaced September 30, 2020.",2:29,Alternate Demo Track,Original Files 2117kbps (.wav) 320kbps (.mp3)
958,DRFL,127,Never Scared (feat. Juice WRLD) [v3.2],G Herbo,"CuBeatz, DY Krazy & Southside",Max Lord & Unknown,Song originally began as a solo G Herbo track.,never scared herbo juice ML mix 44k v1.2,,-,"File Exported November 20-29, 2018.",-,"Surfaced November 22, 2024.",3:20,Alternate Feature Demo Track ( Complete ),Original File 2117kbps (.wav)
959,DRFL,128,Never Scared (feat. Juice WRLD) [v3.3],G Herbo,"CuBeatz, DY Krazy & Southside",Max Lord & Unknown,Song originally began as a solo G Herbo track.,never scared herbo juice ML mix 44k v1.3,,-,"File Exported November 20-29, 2018.",-,"Surfaced November 22, 2024.",3:20,Alternate Feature Demo Track ( Complete ),Original File 2117kbps (.wav)
960,DRFL,129,Never Scared (feat. Juice WRLD) [v3.4],G Herbo,"CuBeatz, DY Krazy & Southside",Max Lord & Unknown,Song originally began as a solo G Herbo track.,File Name (Explicit): never scared herbo juice ML mix 44k v1.4 File Name (Clean): never scared herbo juice ML mix 44k v1.4 CLEAN v1.0,,-,"Explicit File Exported November 20-29, 2018. Clean File Exported December 1-9, 2018.",-,"Surfaced November 22, 2024.",3:20,Alternate Feature Demo Track ( Complete ),Original Files 2117kbps (.wav)
961,DRFL,130,Nightmare (v1.4),Juice WRLD,Max Lord & PVLACE,Max Lord,"Song is unfinished, contains an open verse.",juice wrld - nightmare v1.4 (margate142),margate 142,"Rented Apartment Recording Studio, Downtown, Chicago, IL.","Recorded November 1, 2018.",-,"Surfaced August 12, 2019.",6:09,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
962,DRFL,131,No Coaster Do The Most | The Coast,Juice WRLD,"Andrew Watt, Louis Bell & Nick Mira",Florian Ongonga,-,JUICE - NO COSTER Prod. Nick,Instrumental: nm x lou x watt - goldfish 135BPM Loop (1): Idea 1 (Immortal Goldfish) - 01 - Slide Guitar 1 (130 BPM) Loop (2): Idea 1 (Immortal Goldfish) - 02 - Guitar 1 (130 BPM) Loop (3): Idea 1 (Immortal Goldfish) - 03 - Guitar Verse (130 BPM) Beat Pack: nick juice oct 29 2018,"Tree Sound Recording Studio, Norcross, Atlanta, GA.","Recorded November 29, 2018. File Exported November 15, 2020.","First Previewed November 29, 2018.","Surfaced July 20, 2021.",3:47,Original Solo Demo Track,Original Files 2304kbps (.wav) 320kbps (.mp3)
963,DRFL,132,No Good (v1.2) No Good Woman,Juice WRLD,Rvssian,Max Lord,-,File Name: juice wrld rvssian - no good v1.2 ruff (911) Session Title: rvssian 911 no good v1.2.ptx Folder Title: rvssian 911,RVSSIAN 911 ACC 170 BPM,"Electric Feel Recording Studio, West Hollywood, Los Angeles, CA.","Recorded November 7, 2018.","First Previewed March 5, 2019.","Surfaced August 18, 2019. Session Surfaced June 28, 2023.",4:19,Alternate Demo Track,Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
964,DRFL,133,"No Hands* (v1.1) Been Afraid Song is titled '1748 Moon', after the instrumental.",Juice WRLD,Dre Moon,Max Lord,-,File Name: Juice Wrld - 1748 moon v1.1 Session Title: 1748 moon v1.1.ptx,1748(74),"Rented Home Recording Studio, Beverly Hills, Los Angeles, CA.","Recorded February 4-5, 2019. File Exported February 10, 2023.","First Previewed September 26, 2023.","Surfaced November 17, 2024.",3:58,Alternate Demo Track ( Complete ),Original File 2117kbps (.wav)
965,DRFL,134,No Issues (with G Herbo),Juice WRLD,"G. Ry, Hit-Boy & Mike Crook",Max Lord,-,File Name (1): hit x juice 6 herbo v1.0 File Name (2): Juice Wrld ft. Herbo v1.0,,"Chalice Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 10, 2019.",-,"Surfaced July 25, 2019.",3:35,Throwaway Track,Original File 320kbps (.mp3)
966,DRFL,135,No Jumper (v1.1),Juice WRLD,Marshmello,Max Lord,-,juice wrld - no jumper v1.1 (mello juice 3),mello juice 3,"Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Recorded December 19, 2018. File Exported December 20, 2018.","First Previewed December 19, 2018. First Teased February 12, 2019.","Surfaced May 3, 2024.",3:04,Alternate Demo Track,Original Files 2117kbps (.wav) 320kbps (.mp3)
967,DRFL,136,Not An Option (v1.1) Stargazing,Juice WRLD,Nick Mira,Max Lord,-,juice wrld - not an option v1.1 (NM snowman),Instrumental: NM - Snowman 151BPM Beat Pack: Nick Mira Juice 12.10.19,"Rented Home Recording Studio, Sandy Springs, Atlanta, GA.","Recorded December 13-14, 2018.","First Previewed March 6, 2019.","Surfaced January 11, 2021.",3:49,Alternate Demo Track,Original File 320kbps (.mp3)
968,DRFL,137,Not Enough (v3) I Need You | Out Of Luck Song was originally called 'Gun Next To Me'.,Juice WRLD,Justin Craig & PD Beats,Justin Craig,Shares the same loop as ATEEZ's 'Dancing Like Butterfly Wings' & Bustafunk's 'Bouncy Delight'.,File Name: Not Enough (JCraigMix2) Session Title: jcraig1.ptx,Instrumental: Small Speaker (ROUGH) Loop: MdL TMS Guitar Loop - 90 BPM - G Major Instrumental Stems: Quiet ass speakers,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 26-27, 2018. File Exported February 17, 2019.",-,"Surfaced September 13, 2023. Session Surfaced September 13, 2023.",3:12,Alternate Demo Track,Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
969,DRFL,138,Nuketown (feat. Juice WRLD) [v1.1] Song was originally called 'Cut Throat'.,Ski Mask The Slump God,Fresh ThPharmacy,LGfive & Max Lord,Shares the same sample as Sha Gz's 'New Opp' & Buni's 'Gulag (Pt. 2)'. Song originally began as a solo Ski Mask The Slump God track.,File Name: ski mask juice cut throat v1.1 Session Title: cut throat ski 48k v1.1.ptx Folder Title: cut throat ski 48k,Open Verse File: cut throat ski x juice Instrumental Stems: dfresh6,"Ski Mask's Vocals 5Star Production Studio, Atlantic Station, Atlanta, GA. Juice's Vocals Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Ski Mask's Vocals October [ ? ], 2018. Juice's Vocals November 20, 2018.",-,"Surfaced September 21, 2022. Session Surfaced February 14, 2023.",2:44,Alternate Feature Demo Track,Studio Session & Original Files 2304kbps (.wav) 320kbps (.mp3)
970,DRFL,139,Nuketown (feat. Juice WRLD) [v1.2] Song was originally called 'Cut Throat'.,Ski Mask The Slump God,Fresh ThPharmacy,LGfive & Max Lord,Shares the same sample as Sha Gz's 'New Opp' & Buni's 'Gulag (Pt. 2)'. Song originally began as a solo Ski Mask The Slump God track.,File Name: ski mask juice cut throat v1.2 Session Title: cut throat ski 48k v1.2.ptx Folder Title: cut throat ski 48k,Open Verse File: cut throat ski x juice Instrumental Stems: dfresh6,"Ski Mask's Vocals 5Star Production Studio, Atlantic Station, Atlanta, GA. Juice's Vocals Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Ski Mask's Vocals October [ ? ], 2018. Juice's Vocals November 20, 2018.",-,"Surfaced September 21, 2022. Session Surfaced February 14, 2023.",2:49,Alternate Feature Demo Track,Studio Session & Original Files 2304kbps (.wav) 320kbps (.mp3)
971,DRFL,140,Nuketown (feat. Juice WRLD) [ v2 ] Song was originally called 'Cut Throat'.,Ski Mask The Slump God,Fresh ThPharmacy,"Alex Tumay, LGfive & Max Lord",Shares the same sample as Sha Gz's 'New Opp' & Buni's 'Gulag (Pt. 2)'. Song originally began as a solo Ski Mask The Slump God track.,File Name (Explicit): Ski Mask ft JuiceWrld - Cut Throat - Main - Verse Swap_24 File Name (Clean): Ski Mask ft JuiceWrld - Cut Throat - Clean - Verse Swap.01_25,Instrumental Stems: dfresh6,"Ski Mask's Vocals 5Star Production Studio, Atlantic Station, Atlanta, GA. Juice's Vocals Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Ski Mask's Vocals October [ ? ], 2018. Juice's Vocals November 20, 2018. .L/.R Files Exported November 29, 2018.",-,"Surfaced July 24, 2025.",2:47,Alternate Feature Demo Track,Original Files .L/.R 1152kbps (.wav)
972,DRFL,141,Nuketown (feat. Juice WRLD) [ v3 ] Song was originally called 'Cut Throat'.,Ski Mask The Slump God,Fresh ThPharmacy,"Alex Tumay, LGfive & Max Lord",Shares the same sample as Sha Gz's 'New Opp' & Buni's 'Gulag (Pt. 2)'. Song originally began as a solo Ski Mask The Slump God track.,Ski Mask ft JuiceWrld - Cut Throat - Main Pass.cm_01,Instrumental Stems: dfresh6,"Ski Mask's Vocals 5Star Production Studio, Atlantic Station, Atlanta, GA. Juice's Vocals Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Ski Mask's Vocals October [ ? ], 2018. Juice's Vocals November 20, 2018. File Exported January 24, 2019.",-,"Surfaced July 5, 2023. Trackouts Surfaced July 5, 2023.",2:47,Alternate Feature Demo Track,Trackout Session & Original File 2304kbps (.wav)
973,DRFL,142,Nuts Itch Automatic,Juice WRLD,DY Krazy & Southside,Florian Ongonga,-,JUICE - NUTS ITCH Prod. DY n SS,,"Tree Sound Recording Studio, Norcross, Atlanta, GA.","Recorded November 29, 2018.","First Previewed December 4, 2018.","Surfaced June 8, 2022.",3:34,Throwaway Track,Original File 320kbps (.mp3)
974,DRFL,143,Off The Rip (v1) Gamble,Juice WRLD,Richie Souf,Max Lord,"Song is unfinished, contains an open verse.",File Name: juice wrld - off the rip v1.0 open (rs 1957) Session Title: rs 1957 v1.0.ptx Folder Title: rs 1957,rs_1957_010619_3,"Rented Home Recording Studio, Beverly Hills, Los Angeles, CA.","Recorded February 13, 2019.","First Previewed February 13, 2019.","Surfaced July 25, 2022. Session Surfaced January 17, 2026.",2:53,Original Demo Track ( Open Verse ),Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
975,DRFL,144,ON GOD (with Young Thug) [v1],Juice WRLD & Young Thug,DY Krazy & Rex Kudo,Bainz,-,THUG x JUICEWRLD - ON GOD - BAINZRUFF,,"Crosby Recording Studio, Burbank, Los Angeles, CA.","Recorded October 23, 2018.","First Previewed February [ ? ], 2019. First Teased October 23, 2018.","Surfaced January 22, 2023.",4:10,Original Demo Track ( Complete ),Original File 320kbps (.mp3)
976,DRFL,145,On The Low What I Need,Juice WRLD,Nick Mira,Max Lord,"Song is unfinished, contains an open verse.",juice wrld - on the low v1.0 (NM Khan) ruff,Instrumental: NM - Kahn 152BPM Loop: nm - auck 150 Loop Kit: Nick Mira - Freakshow Beat Pack: nm - juice - oct 18,"Rented Apartment Recording Studio, Downtown, Chicago, IL.","Recorded November 3, 2018.",-,"Surfaced October 19, 2019.",4:00,Throwaway Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
977,DRFL,146,OREO (feat. Matt Ox),Juice WRLD,Gezin & TM88,Max Lord & Roger Lawrence,Song originally began as a solo Juice WRLD track.,JuiceWRLD.MattOx - Oreo 1.0 - 02.28.19rl,JUUL MANGO 9 GZ x TM88 153 BPM,"Juice's Vocals Paramount Recording Studio, Santa Monica, Los Angeles, CA.","Juice's Vocals June 7, 2018. Matt's Vocals February 28, 2019.",-,"Surfaced August 14, 2024.",3:21,Feature Track,Original File 320kbps (.mp3)
978,DRFL,147,Out My Way (v1.1),Juice WRLD,Hit-Boy,Max Lord,-,Juice Wrld - out my way v1.1 (chalice 229),chalice 2018-229,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 13-14, 2019.","First Previewed January 13-14, 2019.","Surfaced January 14, 2023.",2:38,Alternate Demo Track,Original File 320kbps (.mp3)
979,DRFL,148,Pesos Troubled Kids,Juice WRLD,"Chris Madine, Corbett, G. Ry & Hit-Boy",Max Lord,-,File Name: Juice Wrld - pesos v1.0 (chalice 2018 268 hit) Session Title: chalice 268 268 hit v1.0 pesos.ptx Folder Title: chalice 268 268 hit.ptx,chalice 2018-268,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 23, 2019.","First Previewed January 24, 2019.","Surfaced January 6, 2020.",2:46,Throwaway Track,Original Files 2117kbps (.wav) 320kbps (.mp3)
980,DRFL,149,Pieces (v1.2) Tweakin',Juice WRLD,Nick Mira,Max Lord,"Song is unfinished, contains an open verse.",juice wrld - pieces v1.2 (NM kilos),Instrumental: NM - Kilos 140BPM Beat Pack: juice wrld 12.16,"Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Recorded December 20-22, 2018. File Exported January 1-3, 2019.","First Previewed January 3, 2019.","Surfaced February 8, 2020.",4:34,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
981,DRFL,150,Plain Jane (v1.4) Her And Her Beauty,Juice WRLD,Don Kevo & RicandThadeus,Max Lord,"Song is unfinished, contains an open verse.",juice wrld - plain jane v1.4 (297 DK skydweller),Instrumental: 297 DK skydweller Loop Stems: Reeces Pieces 135,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 13-14, 2019. File Exported January 15, 2019.","First Previewed January 13-14, 2019. First Teased March 7, 2019.","Surfaced February 17, 2023.",3:57,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
982,DRFL,151,"Pokémon* Last Year Song is titled '1754 Moon', after the instrumental.",Juice WRLD,Dre Moon,Max Lord,-,File Name: Juice Wrld - 1754 moon v1.0 Session Title: 1754 moon v1.0.ptx,1754(130),"Rented Home Recording Studio, Beverly Hills, Los Angeles, CA.","Recorded February 4-5, 2019. File Exported February 10, 2023.","First Previewed March 19, 2025.","Surfaced January 25, 2026.",3:53,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
983,DRFL,152,Pop It (with G Herbo) [v1.1] Ace Of Hearts,Juice WRLD & G Herbo,Hit-Boy,Max Lord,-,hit x juice 5 pop it v1.1 herbo,,"Chalice Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 9-10, 2019.","First Previewed January 10, 2019.","Surfaced July 25, 2019.",3:58,Alternate Demo Track,Original File 320kbps (.mp3)
984,DRFL,153,Problem Goblin | I Lost Too Many,Juice WRLD,Nick Mira,Max Lord,-,juice wrld - problem v1.0 RUFF (NM reason),Instrumental: NM - Reason 140BPM Beat Pack: nick juice oct 29 2018,"Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Recorded November 18-19, 2018.",-,"Surfaced March 13, 2021.",4:34,Throwaway Track,Original File 320kbps (.mp3)
985,DRFL,154,Pull Up In The Range Conjuring | Won't Die Song was originally untitled.,Juice WRLD,"Boi-1da, Jahaan Sweet & TBHits",Billy Hickey,-,File Name: Juice_Boi1da_Tommy Brown 2_12.18.18 Session Title: Juice_Boi1da_Tommy Brown 2.ptx,3030 - ILL JAHAAN TOMMY STUPID BEAT,"Paramount Recording Studio, Santa Monica, Los Angeles, CA.","Recorded December 18-19, 2018.",-,"Surfaced July 27, 2019. Session Surfaced September 29, 2022.",1:15,Original Solo Demo Track,Studio Session & Original File 320kbps (.mp3)
986,DRFL,155,Purple Moncler,Juice WRLD,Nick Mira,Florian Ongonga,-,JUICE - PURPLE MONCLER Prod. Nick,Instrumental: NM - Capone 163BPM Beat Pack: nick juice oct 29 2018,"Tree Sound Recording Studio, Norcross, Atlanta, GA.","Recorded November 29, 2018.","First Previewed November 29, 2018.","Surfaced January 29, 2020.",3:31,Throwaway Track,Original File 320kbps (.mp3)
987,DRFL,156,Racks On Racks (with Young Thug) Baguettes,Juice WRLD & Young Thug,DY Krazy & Wheezy,Bainz,-,THUG X JUICEWRLD - RACKS ON RACKS - BAINZRUFF,,"Crosby Recording Studio, Burbank, Los Angeles, CA.","Recorded December 23, 2018.","First Previewed January 3, 2019.","Surfaced April 12, 2022.",3:50,Throwaway Track,Original File 320kbps (.mp3)
988,DRFL,157,Racks Out Best Around,Juice WRLD,DY Krazy & Morgan O'Connor,Max Lord,-,File Name: Juice Wrld - RACKS OUT v1.0 (dymiami22morgan) Session Title: dymiami22MORGAN v1.0.ptx Folder Title: dymiami22MORGAN,dymiami22MORGAN,"Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Recorded January 29, 2019.","First Previewed February 15, 2019. First Teased January 29, 2019.","Surfaced August 18, 2020. Session Surfaced June 14, 2025.",3:02,Throwaway Track,Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
989,DRFL,158,Ransom (Remix) [feat. Juice WRLD] {v1.1} Ran$om,Lil Tecca,Nick Mira & Taz Taylor,Joseph Colmenero & Max Lord,Song originally began as a solo Lil Tecca track.,File Name: tecca juice ransom v1.1 ruff Session Title: tecca juice ransom v1.1.ptx,Instrumental: NM - Bussin 160BPM MIDI: NM - Bits,"Tecca's Vocals Internet Money Home Recording Studio, Hollywood, Los Angeles, CA. Juice's Vocals Blue Room West Recording Studio, West Hollywood, Los Angeles, CA.","Tecca's Vocals January 4, 2019. Juice's Vocals January 24, 2019. Files Exported July 13, 2019.",-,"Surfaced March 13, 2022.",3:12,Alternate Feature Demo & Remix Track ( Complete ),Original Files 2117kbps (.wav) .L/.R 1058kbps (.wav) 320kbps (.mp3)
990,DRFL,159,Red Dead Redemption,Juice WRLD,"CuBeatz, Danny Wolf & Slight",Todd Bergman,-,File Name: RED DEAD REDEMPTION JW 12.02.18 Session Title (1): JW 12.02.18 REC_2.ptx Session Title (2): RED DEAD REDEMPTION_JW 12.02.18_.ptx,Instrumental: huncho Loop: sneaky shadow 130bpm prod. cubeatz & slight,"Paramount Track Record North Studio, North Hollywood, Los Angeles, CA.","Recorded December 3, 2018.","First Previewed December 3, 2018. First Teased December 11, 2018.","Surfaced October 30, 2020. Session Surfaced February 22, 2023.",3:47,Throwaway Track,Studio Session & Original File 320kbps (.mp3)
991,DRFL,160,Red-Eye Crazy Type,Juice WRLD,Dre Moon,Max Lord,-,File Name: Juice Wrld - 1787 moon v1.0 red eye Session Title: 1787 moon v1.0 red eye.ptx Folder Title: 1787 moon,1787(158),"Rented Home Recording Studio, Beverly Hills, Los Angeles, CA.","Recorded February 4-5, 2019.","First Previewed September 26, 2023.","Surfaced August 22, 2024.",2:22,Throwaway Track ( Complete ),320kbps (.mp3)
992,DRFL,161,Remind Me Of The Summer (v2),Juice WRLD,Justin Craig & Sample Magic,Justin Craig,Samples Eminem's 'Lose Yourself'.,File Name: Remind Me Of The Summer (JcraigMix2) Session Title: jcraig2.ptx,Instrumental: Juice3 Loop (1): ag guit80 acoustic1 Cm Loop (2): ag guit90 muffled1 Cm9,"Glass Tree Creative Recording Studio, Downtown, Chicago, IL.","Recorded April 29, 2018. File Exported February 17, 2019.",-,"Surfaced December 7, 2022. Session Surfaced June 28, 2023.",3:18,Alternate Demo Track,Studio Session & Original Files 2117kbps (.wav) 320kbps (.mp3)
993,DRFL,162,"Rental (v1.4) Cha-Ching Song was originally titled 'K', after the instrumental.",Juice WRLD,Seezyn,Max Lord,Samples Suoh Mikoto's Theme from 'K Project'.,juice wrld - K v1.4,K,"Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Recorded November 10, 2018.","First Previewed November 10, 2018.","Surfaced October 7, 2020.",4:13,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
994,DRFL,163,"Rider (v1.2) Song was originally titled 'Alpine', after the instrumental.",Juice WRLD,Power,Max Lord,-,File Name (1): juice wrld - alpine v1.2 File Name (2): juice wrld - rider alpine v1.2 Session Title: alpine v1.2.ptx Folder Title: alpine,alpine,"Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Recorded November 9, 2018. Files Exported November 10, 2018.","First Previewed November 19. 2018. First Teased January 19, 2019.","Surfaced October 16, 2022. Session Surfaced January 25, 2026.",3:11,Alternate Demo Track,Studio Session & Original Files 2117kbps (.wav) .L/.R 1411kbps (.wav) 320kbps (.mp3)
995,DRFL,164,"Rider ( v3 ) Song was originally titled 'Alpine', after the instrumental.",Juice WRLD,Power,"Anthony Vega, Jacob Richards, Jaycen Joshua, Max Lord, Mike Seaberg & Rashawn McLean",-,File Name: Rider-Main Mix V1 FNL Session Title: Rider-OG Multitrack.ptx Folder Title: Rider Deliverables,Rider-Instrumental V1 FNL,"Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Recorded November 9, 2018. File Exported February 23, 2019.",-,"Surfaced December 30, 2023. Deliverables Surfaced December 30, 2023.",3:13,Alternate Demo Track,Deliverable Session & Original File 2822kbps (.wav)
